"","Date","Islander","Negative","total_tweets"
"1","2022-06-05","Adam",0,1
"2","2022-06-05","Afia",0,0
"3","2022-06-05","Amber",0,12
"4","2022-06-05","Andrew",0,5
"5","2022-06-05","Antigoni",0,0
"6","2022-06-05","Billy",0,0
"7","2022-06-05","Charlie",0,0
"8","2022-06-05","Chyna",0,0
"9","2022-06-05","Coco",0,0
"10","2022-06-05","Dami",2,11
"11","2022-06-05","Danica",0,0
"12","2022-06-05","Davide",0,7
"13","2022-06-05","Deji",0,0
"14","2022-06-05","Ekin-Su",0,0
"15","2022-06-05","Gemma",0,15
"16","2022-06-05","Ikenna",0,6
"17","2022-06-05","Indiyah",0,18
"18","2022-06-05","Jacques",0,0
"19","2022-06-05","Jamie",0,0
"20","2022-06-05","Jay",0,0
"21","2022-06-05","Josh",0,0
"22","2022-06-05","Lacey",0,0
"23","2022-06-05","Liam",0,9
"24","2022-06-05","Luca",0,7
"25","2022-06-05","Nathalia",0,0
"26","2022-06-05","Paige",0,20
"27","2022-06-05","Reece",0,0
"28","2022-06-05","Remi",0,4
"29","2022-06-05","Summer",0,19
"30","2022-06-05","Tasha",0,14
"31","2022-06-06","Adam",3,17
"32","2022-06-06","Afia",17,1261
"33","2022-06-06","Amber",17,729
"34","2022-06-06","Andrew",13,171
"35","2022-06-06","Antigoni",0,0
"36","2022-06-06","Billy",0,0
"37","2022-06-06","Charlie",0,3
"38","2022-06-06","Chyna",0,0
"39","2022-06-06","Coco",0,4
"40","2022-06-06","Dami",8,395
"41","2022-06-06","Danica",0,0
"42","2022-06-06","Davide",95,4153
"43","2022-06-06","Deji",0,0
"44","2022-06-06","Ekin-Su",1,7
"45","2022-06-06","Gemma",577,5993
"46","2022-06-06","Ikenna",44,1030
"47","2022-06-06","Indiyah",42,1042
"48","2022-06-06","Jacques",0,2
"49","2022-06-06","Jamie",0,2
"50","2022-06-06","Jay",0,10
"51","2022-06-06","Josh",0,1
"52","2022-06-06","Lacey",0,0
"53","2022-06-06","Liam",50,1227
"54","2022-06-06","Luca",6,338
"55","2022-06-06","Nathalia",1,2
"56","2022-06-06","Paige",17,1063
"57","2022-06-06","Reece",0,1
"58","2022-06-06","Remi",1,80
"59","2022-06-06","Summer",1,60
"60","2022-06-06","Tasha",8,736
"61","2022-06-07","Adam",1,15
"62","2022-06-07","Afia",3,358
"63","2022-06-07","Amber",29,644
"64","2022-06-07","Andrew",16,403
"65","2022-06-07","Antigoni",0,0
"66","2022-06-07","Billy",0,2
"67","2022-06-07","Charlie",0,4
"68","2022-06-07","Chyna",0,0
"69","2022-06-07","Coco",0,2
"70","2022-06-07","Dami",5,261
"71","2022-06-07","Danica",0,0
"72","2022-06-07","Davide",263,6874
"73","2022-06-07","Deji",0,0
"74","2022-06-07","Ekin-Su",11,489
"75","2022-06-07","Gemma",166,4295
"76","2022-06-07","Ikenna",23,401
"77","2022-06-07","Indiyah",47,1216
"78","2022-06-07","Jacques",0,2
"79","2022-06-07","Jamie",0,1
"80","2022-06-07","Jay",0,5
"81","2022-06-07","Josh",1,3
"82","2022-06-07","Lacey",0,0
"83","2022-06-07","Liam",73,1386
"84","2022-06-07","Luca",19,970
"85","2022-06-07","Nathalia",0,1
"86","2022-06-07","Paige",8,486
"87","2022-06-07","Reece",0,0
"88","2022-06-07","Remi",2,100
"89","2022-06-07","Summer",2,30
"90","2022-06-07","Tasha",12,562
"91","2022-06-08","Adam",2,18
"92","2022-06-08","Afia",3,290
"93","2022-06-08","Amber",20,1069
"94","2022-06-08","Andrew",278,3582
"95","2022-06-08","Antigoni",0,0
"96","2022-06-08","Billy",0,2
"97","2022-06-08","Charlie",0,1
"98","2022-06-08","Chyna",0,2
"99","2022-06-08","Coco",0,1
"100","2022-06-08","Dami",56,2177
"101","2022-06-08","Danica",0,0
"102","2022-06-08","Davide",117,1946
"103","2022-06-08","Deji",0,1
"104","2022-06-08","Ekin-Su",8,812
"105","2022-06-08","Gemma",155,2467
"106","2022-06-08","Ikenna",36,1156
"107","2022-06-08","Indiyah",32,1665
"108","2022-06-08","Jacques",0,5
"109","2022-06-08","Jamie",0,1
"110","2022-06-08","Jay",0,7
"111","2022-06-08","Josh",0,1
"112","2022-06-08","Lacey",0,0
"113","2022-06-08","Liam",70,2767
"114","2022-06-08","Luca",115,2122
"115","2022-06-08","Nathalia",0,0
"116","2022-06-08","Paige",22,479
"117","2022-06-08","Reece",0,0
"118","2022-06-08","Remi",4,93
"119","2022-06-08","Summer",0,14
"120","2022-06-08","Tasha",64,712
"121","2022-06-09","Adam",1,15
"122","2022-06-09","Afia",7,333
"123","2022-06-09","Amber",5,251
"124","2022-06-09","Andrew",39,1126
"125","2022-06-09","Antigoni",0,1
"126","2022-06-09","Billy",0,0
"127","2022-06-09","Charlie",0,0
"128","2022-06-09","Chyna",0,0
"129","2022-06-09","Coco",0,3
"130","2022-06-09","Dami",18,1477
"131","2022-06-09","Danica",0,0
"132","2022-06-09","Davide",88,2793
"133","2022-06-09","Deji",0,0
"134","2022-06-09","Ekin-Su",71,1766
"135","2022-06-09","Gemma",406,5885
"136","2022-06-09","Ikenna",8,432
"137","2022-06-09","Indiyah",25,1075
"138","2022-06-09","Jacques",0,3
"139","2022-06-09","Jamie",0,0
"140","2022-06-09","Jay",0,3
"141","2022-06-09","Josh",0,0
"142","2022-06-09","Lacey",0,0
"143","2022-06-09","Liam",21,956
"144","2022-06-09","Luca",204,5388
"145","2022-06-09","Nathalia",0,0
"146","2022-06-09","Paige",29,1315
"147","2022-06-09","Reece",0,2
"148","2022-06-09","Remi",3,62
"149","2022-06-09","Summer",1,18
"150","2022-06-09","Tasha",29,1392
"151","2022-06-10","Adam",0,8
"152","2022-06-10","Afia",25,928
"153","2022-06-10","Amber",10,475
"154","2022-06-10","Andrew",19,280
"155","2022-06-10","Antigoni",0,1
"156","2022-06-10","Billy",0,1
